4bb322,THY3200,Turkey,1750018251,1750018251,33.8076,37.4004,9433.56,False,272.86,70.51,4.88,,9784.08,,False,0,2025-06-15 20:10:51
4bb27a,THY364,Turkey,1750018375,1750018377,37.3014,39.8228,10058.4,False,265.77,84.22,0.0,,10340.34,,False,0,2025-06-15 20:12:55
4bb273,THY4TA,Turkey,1750018386,1750018387,29.9204,39.8256,8961.12,False,202.99,336.55,-14.63,,9281.16,6136,False,0,2025-06-15 20:13:06
4066cf,TOM8BG,United Kingdom,1750018387,1750018387,26.7267,37.2324,9281.16,False,234.07,149.49,-9.1,,9730.74,6751,False,0,2025-06-15 20:13:07
4bb284,THY9YE,Turkey,1750018179,1750018344,48.9584,26.4824,10066.02,False,235.66,88.87,-0.33,,10782.3,,False,0,2025-06-15 20:09:39
896307,UAE860,United Arab Emirates,1750018361,1750018361,50.0098,28.1573,11277.6,False,260.26,145.71,9.43,,11704.32,,False,0,2025-06-15 20:12:41
4bb203,THY3DK,Turkey,1750018072,1750018324,31.2617,30.45,2994.66,False,158.33,171.03,-1.95,,4008.12,3343,False,0,2025-06-15 20:07:52
8963ec,UAE65W,United Arab Emirates,1750018387,1750018387,46.5623,27.6714,11887.2,False,263.79,103.3,0.0,,12702.54,,False,0,2025-06-15 20:13:07
8963db,UAE158,United Arab Emirates,1750018388,1750018388,47.6859,27.4255,10668.0,False,261.51,107.04,0.0,,11414.76,,False,0,2025-06-15 20:13:08
4bb153,THY6142,Turkey,1750018378,1750018386,32.4577,28.616,10668.0,False,253.46,140.11,0.0,,11384.28,1602,False,0,2025-06-15 20:12:58
4067ee,TOM883,United Kingdom,1750018387,1750018387,31.0672,36.9578,2819.4,False,149.5,127.03,12.35,,2872.74,,False,0,2025-06-15 20:13:07
4bb166,THY5445,Turkey,1750018387,1750018387,31.3432,31.7589,10972.8,False,267.53,354.93,0.0,,11620.5,4576,False,0,2025-06-15 20:13:07
34538d,VLG1594,Spain,1750018362,1750018384,29.8931,32.6808,10058.4,False,247.95,137.44,0.0,,10576.56,1617,False,0,2025-06-15 20:12:42
8007ca,IGO1206,India,1750018090,1750018103,54.5061,24.5686,10058.4,False,241.61,115.47,0.0,,10744.2,,False,0,2025-06-15 20:08:10
89647e,UAE2,United Arab Emirates,1750018207,1750018257,50.2083,26.8986,12496.8,False,259.1,101.8,0.0,,13296.9,,False,0,2025-06-15 20:10:07
89648e,FDB1795,United Arab Emirates,1750017315,1750018386,34.3722,33.3684,11582.4,False,80.18,113.44,0.98,,10020.3,0567,False,0,2025-06-15 19:55:15
896469,FDB2MF,United Arab Emirates,1750018386,1750018386,49.4945,27.0694,11277.6,False,241.64,93.17,0.0,,12054.84,,False,0,2025-06-15 20:13:06
896455,UAE66V,United Arab Emirates,1750018384,1750018385,48.332,27.428,10668.0,False,261.15,104.26,0.0,,11430.0,,False,0,2025-06-15 20:13:04
89644a,UAE1X,United Arab Emirates,1750018388,1750018388,49.3101,27.0787,10668.0,False,261.73,93.15,0.0,,11422.38,,False,0,2025-06-15 20:13:08
740734,RJA505,Jordan,1750018387,1750018388,32.6769,29.6016,8580.12,False,224.16,285.44,-4.88,,9151.62,0742,False,0,2025-06-15 20:13:07
740733,RJA142,Jordan,1750018386,1750018387,31.2201,33.5282,10668.0,False,240.16,140.65,0.33,,11216.64,0101,False,0,2025-06-15 20:13:06
740736,RJA5112,Jordan,1750018382,1750018383,29.2013,34.0909,10668.0,False,260.52,118.03,0.0,,11170.92,2712,False,0,2025-06-15 20:13:02
4bb026,TKJ2KJ,Turkey,1750018387,1750018387,30.4,37.8034,11277.6,False,251.72,168.8,0.0,,11711.94,,False,0,2025-06-15 20:13:07
89663d,WAZ85GG,United Arab Emirates,1750018365,1750018368,46.0459,26.4972,11887.2,False,243.36,89.15,0.0,,12710.16,,False,0,2025-06-15 20:12:45
89663c,WAZ3AH,United Arab Emirates,1750018387,1750018387,48.3149,26.5373,11277.6,False,235.7,91.5,-0.33,,12062.46,,False,0,2025-06-15 20:13:07
40655b,EXS5TM,United Kingdom,1750018387,1750018387,25.9443,36.6124,9281.16,False,230.41,298.4,3.58,,9723.12,7740,False,0,2025-06-15 20:13:07
896624,UAE41M,United Arab Emirates,1750018331,1750018331,50.5079,27.0392,11887.2,False,254.29,91.97,0.0,,12672.06,,False,0,2025-06-15 20:12:11
40787a,,United Kingdom,1750018158,1750018159,27.0915,36.7986,,True,0.0,87.19,,,,,False,0,2025-06-15 20:09:18
896605,FDB2TV,United Arab Emirates,1750018382,1750018383,30.3258,38.0425,11887.2,False,242.04,168.48,0.0,,12336.78,,False,0,2025-06-15 20:13:02
89659f,WAZ7180,United Arab Emirates,1750017488,1750018387,34.4782,33.283,10675.62,False,68.69,163.47,0.0,,9715.5,3327,False,0,2025-06-15 19:58:08
